geo,sector,year,elec_carb_int_inp,elec_gen_GWh_inp,elec_value_inp,emis_int_inp,emissions_MtCo2_inp,ind_val_add_2019_bln_inp,pcap_emis_int_inp,pop_inp,resi_emis_int_inp,tokeep,emissions_MtCo2_finaly,ind_val_add_2019_bln_finaly,elec_gen_GWh_finaly,emissions_MtCo2_trend,emis_int_trend,ind_val_add_2019_bln_trend,elec_gen_GWh_trend,baseyear,emissions_MtCo2_baseyear,yrs_since_final_obs,ind_val_add_multiplier,elec_gen_GWh_multiplier,ind_val_add_output,elec_gen_GWh_output,emissions_MtCo2_output,emis_int_outp,elec_carb_int_outp,population
VIC,Electricity generation,2041,,,,,,,,,,0,43.16661,7.522815182995126,45394.22,-2.292997777777778,0.9258971815701544,1.034146333565619,0.9764203789764939,2005,61.354369999999996,23.0,2.164641202995848,0.5776266287080888,16.284195707634,26220.9102614333,-9.572338888888893,-0.5878300077418867,-0.36506508711744645,9.307952
VIC,Electricity generation,2042,,,,,,,,,,0,43.16661,7.522815182995126,45394.22,-2.292997777777778,0.9258971815701544,1.034146333565619,0.9764203789764939,2005,61.354369999999996,24.0,2.2385557635632267,0.5640064117100666,16.84024128611469,25602.63113457734,-11.865336666666671,-0.7045823432737877,-0.46344208156958044,9.417962
VIC,Electricity generation,2043,,,,,,,,,,0,43.16661,7.522815182995126,45394.22,-2.292997777777778,0.9258971815701544,1.034146333565619,0.9764203789764939,2005,61.354369999999996,25.0,2.3149942353710955,0.5507073542671157,17.41527378239587,24998.93079521939,-14.15833444444445,-0.8129837418207183,-0.5663575998679105,9.527694
VIC,Electricity generation,2044,,,,,,,,,,0,43.16661,7.522815182995126,45394.22,-2.292997777777778,0.9258971815701544,1.034146333565619,0.9764203789764939,2005,61.354369999999996,26.0,2.394042800734562,0.5377218835586394,18.00994153010614,24409.465481075258,-16.451332222222227,-0.9134583915623224,-0.67397347291267,9.637195
VIC,Electricity generation,2045,,,,,,,,,,0,43.16661,7.522815182995126,45394.22,-2.292997777777778,0.9258971815701544,1.034146333565619,0.9764203789764939,2005,61.354369999999996,27.0,2.475790584778813,0.5250426053282808,18.624915001090436,23833.899535645152,-18.744330000000005,-1.0064115728261083,-0.7864567009677387,9.746507000000001
VIC,Electricity generation,2046,,,,,,,,,,0,43.16661,7.522815182995126,45394.22,-2.292997777777778,0.9258971815701544,1.034146333565619,0.9764203789764939,2005,61.354369999999996,28.0,2.560329755925289,0.5126622996734457,19.26088756134897,23271.905217082323,-21.037327777777783,-1.0922304442498079,-0.9039796089550808,9.855667
VIC,Electricity generation,2047,,,,,,,,,,0,43.16661,7.522815182995126,45394.22,-2.292997777777778,0.9258971815701544,1.034146333565619,0.9764203789764939,2005,61.354369999999996,29.0,2.6477556298090934,0.5005739169341067,19.91857625278867,22723.162511568564,-23.330325555555554,-1.1712847976415597,-1.0267200062349542,9.964707
VIC,Electricity generation,2048,,,,,,,,,,0,43.16661,7.522815182995126,45394.22,-2.292997777777778,0.9258971815701544,1.034146333565619,0.9764203789764939,2005,61.354369999999996,30.0,2.7381667767448,0.4887705736785485,20.59872260166861,22187.35895109024,-25.62332333333334,-1.2439277827479316,-1.1548613509979864,10.073666000000001
VIC,Electricity generation,2049,,,,,,,,,,0,43.16661,7.522815182995126,45394.22,-2.292997777777778,0.9258971815701544,1.034146333565619,0.9764203789764939,2005,61.354369999999996,31.0,2.8316651328618234,0.4772455487837667,21.302093454650837,21664.189435511038,-27.916321111111124,-1.3104966030940126,-1.288592919398676,10.182576
VIC,Electricity generation,2050,,,,,,,,,,0,43.16661,7.522815182995126,45394.22,-2.292997777777778,0.9258971815701544,1.034146333565619,0.9764203789764939,2005,61.354369999999996,32.0,2.928356115034656,0.46599227960829026,22.02948184339933,21153.356058840243,-30.209318888888895,-1.371313184015741,-1.4281099795634582,10.291464
VIC,"Gas, Water & Waste Services",2005,,,,,7.1576299999999975,,,,,1,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-13.0,0.47502707508342373,,,,7.1576299999999975,,,5.023203
VIC,"Gas, Water & Waste Services",2006,,,,,6.43913901700013,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-12.0,0.5030210760918354,,,,6.43913901700013,,,5.1039650000000005
VIC,"Gas, Water & Waste Services",2007,,,,,5.080645507599137,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-11.0,0.5326648022076451,,,,5.080645507599137,,,5.199503
VIC,"Gas, Water & Waste Services",2008,,,,,5.002700346393468,,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-10.0,0.5640554740078315,,,,5.002700346393468,,,5.313285
VIC,"Gas, Water & Waste Services",2009,,,,2.1132051480105685,6.77225,3.204729084810147,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-9.0,0.597296041412126,,3.204729084810147,,6.77225,2.1132051480105685,,5.3719339999999995
VIC,"Gas, Water & Waste Services",2010,,,,2.1213971583170057,7.5212900000000085,3.5454417248144923,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-8.0,0.6324955213210868,,3.5454417248144923,,7.5212900000000085,2.121397158317006,,5.461101
VIC,"Gas, Water & Waste Services",2011,,,,1.4968620086583369,5.957159999999996,3.97976564676092,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-7.0,0.6697693551516508,,3.97976564676092,,5.957159999999996,1.4968620086583369,,5.5378169999999995
VIC,"Gas, Water & Waste Services",2012,,,,2.765708524094677,11.98263,4.332571525743977,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-6.0,0.7092397874427487,,4.332571525743977,,11.98263,2.7657085240946775,,5.651091
VIC,"Gas, Water & Waste Services",2013,,,,1.3590659488019656,6.229779999999997,4.5838688001061545,,,,0,7.6665899999999985,5.365394817004874,,0.09937111111111098,0.9574534199831893,1.0589313798660749,,2005,7.1576299999999975,-5.0,0.7510362667726715,,4.5838688001061545,,6.229779999999997,1.3590659488019654,,5.7726690000000005
